Date,Open,High,Low,Close,Volume,Adj Close
2015-06-30,125.57,126.120003,124.860001,125.43,44370700,124.864806
2015-06-29,125.459999,126.470001,124.480003,124.529999,49161400,123.96886
2015-06-26,127.669998,127.989998,126.510002,126.75,44066800,126.178858
2015-06-25,128.860001,129.199997,127.50,127.50,31938100,126.925478
2015-06-24,127.209999,129.800003,127.120003,128.110001,55280900,127.53273
2015-06-23,127.480003,127.610001,126.879997,127.029999,30268900,126.457595
2015-06-22,127.489998,128.059998,127.080002,127.610001,34039300,127.034983
2015-06-19,127.709999,127.82,126.400002,126.599998,54716900,126.029532
2015-06-18,127.230003,128.309998,127.220001,127.879997,35407200,127.303763
2015-06-17,127.720001,127.879997,126.739998,127.300003,32918100,126.726383
2015-06-16,127.029999,127.849998,126.370003,127.599998,31494100,127.025026
2015-06-15,126.099998,127.239998,125.709999,126.919998,43988900,126.34809
2015-06-12,128.190002,128.330002,127.110001,127.169998,36886200,126.596964
2015-06-11,129.179993,130.179993,128.479996,128.589996,35390900,128.010563
2015-06-10,127.919998,129.339996,127.849998,128.880005,39087300,128.299265
2015-06-09,126.699997,128.080002,125.620003,127.419998,56075400,126.845837
2015-06-08,128.899994,129.210007,126.830002,127.800003,52674800,127.22413
2015-06-05,129.50,129.690002,128.360001,128.649994,35626800,128.07029
2015-06-04,129.580002,130.580002,128.910004,129.360001,38450100,128.777098
2015-06-03,130.660004,130.940002,129.899994,130.119995,30983500,129.533668
2015-06-02,129.860001,130.660004,129.320007,129.960007,33667600,129.3744
2015-06-01,130.279999,131.389999,130.050003,130.539993,32112800,129.951773
